NOTE: 2000 DATA IS FROM April 2000; 2008 DATA IS AS OF APRIL 13th,,,,,,,,,,
COUNTY,Democratic Registration 2000,Republican Registration 2000,Percent Dem.,Percent Repub., Dem. Reg 2008 , Repub. Reg. 2008 ,Percent 2008 Dem,Dem. Percentage point change 2000 to 2008,Percent 2008 Repub.,Repub. Percentage point change 2000 to 2008
HUNTINGDON,"8,724","14,527",34.38%,57.25%," 10,225.00 "," 16,568.00 ",34.62%,0.24%,56.10%,-1.15%
INDIANA,"21,121","20,098",46.45%,44.20%," 24,627.00 "," 23,171.00 ",45.78%,-0.67%,43.07%,-1.13%
JEFFERSON,"10,547","13,138",41.62%,51.84%," 11,545.00 "," 15,410.00 ",39.05%,-2.57%,52.12%,0.27%
JUNIATA,"4,590","6,716",37.93%,55.50%," 4,934.00 "," 7,956.00 ",35.09%,-2.84%,56.59%,1.09%
LACKAWANNA,"90,456","44,462",63.57%,31.25%," 98,994.00 "," 42,157.00 ",65.38%,1.81%,27.84%,-3.40%
LANCASTER,"64,623","157,993",25.25%,61.73%," 94,864.00 "," 173,316.00 ",30.46%,5.21%,55.66%,-6.08%
LAWRENCE,"31,283","19,477",57.32%,35.69%," 34,017.00 "," 22,250.00 ",55.47%,-1.85%,36.28%,0.60%
LEBANON,"19,467","39,650",29.43%,59.94%," 25,291.00 "," 43,073.00 ",32.41%,2.99%,55.21%,-4.73%
LEHIGH,"80,866","77,500",44.81%,42.95%," 101,752.00 "," 76,873.00 ",48.31%,3.49%,36.49%,-6.45%
LUZERNE,"110,125","67,954",58.13%,35.87%," 106,141.00 "," 59,627.00 ",59.23%,1.09%,33.27%,-2.60%
LYCOMING,"22,775","33,481",36.98%,54.36%," 25,748.00 "," 36,513.00 ",36.89%,-0.09%,52.31%,-2.05%
MCKEAN,"7,972","15,529",30.82%,60.03%," 8,694.00 "," 15,193.00 ",32.56%,1.74%,56.90%,-3.13%
MERCER,"35,577","29,393",49.78%,41.13%," 39,081.00 "," 31,663.00 ",49.38%,-0.39%,40.01%,-1.11%
MIFFLIN,"8,910","12,839",37.89%,54.60%," 8,890.00 "," 13,889.00 ",35.54%,-2.35%,55.52%,0.93%
MONROE,"29,943","32,025",40.07%,42.86%," 48,978.00 "," 38,143.00 ",46.08%,6.01%,35.89%,-6.97%
MONTGOMERY,"162,696","267,723",32.98%,54.26%," 247,613.00 "," 237,969.00 ",44.08%,11.10%,42.36%,-11.90%
MONTOUR,"3,851","4,831",40.15%,50.36%," 4,865.00 "," 5,805.00 ",39.88%,-0.26%,47.59%,-2.78%
NORTHAMPTON,"77,053","60,007",48.69%,37.92%," 96,978.00 "," 68,759.00 ",49.28%,0.58%,34.94%,-2.99%
NORTHUMBERLAND,"23,652","23,043",47.38%,46.16%," 23,673.00 "," 24,508.00 ",44.72%,-2.66%,46.30%,0.14%
PERRY,"6,588","15,041",27.59%,62.99%," 7,721.00 "," 16,698.00 ",28.20%,0.61%,60.98%,-2.01%
PHILADELPHIA,"738,103","192,604",74.45%,19.43%," 799,472.00 "," 145,404.00 ",77.55%,3.10%,14.10%,-5.32%
PIKE,"9,406","14,599",32.86%,51.01%," 15,950.00 "," 19,650.00 ",36.55%,3.69%,45.03%,-5.97%
POTTER,"3,620","6,961",32.00%,61.54%," 3,595.00 "," 6,790.00 ",31.92%,-0.09%,60.28%,-1.26%
SCHUYLKILL,"34,226","45,647",39.85%,53.15%," 39,008.00 "," 44,989.00 ",42.16%,2.31%,48.63%,-4.52%
SNYDER,"4,330","12,391",23.74%,67.93%," 5,521.00 "," 13,517.00 ",26.05%,2.31%,63.78%,-4.15%
SOMERSET,"21,867","23,603",45.40%,49.00%," 22,961.00 "," 25,980.00 ",43.42%,-1.97%,49.13%,0.13%
SULLIVAN,"1,687","2,486",37.79%,55.69%," 1,770.00 "," 2,420.00 ",39.00%,1.21%,53.33%,-2.36%
SUSQUEHANNA,"8,074","14,722",32.49%,59.24%," 9,832.00 "," 15,419.00 ",34.81%,2.33%,54.60%,-4.64%
TIOGA,"7,010","15,958",28.34%,64.52%," 7,930.00 "," 16,013.00 ",29.89%,1.55%,60.36%,-4.16%
UNION,"4,837","10,910",27.61%,62.26%," 7,682.00 "," 12,806.00 ",32.63%,5.02%,54.39%,-7.88%
VENANGO,"12,695","17,822",37.96%,53.30%," 13,060.00 "," 17,561.00 ",38.29%,0.33%,51.49%,-1.81%
WARREN,"10,442","14,218",38.22%,52.04%," 11,181.00 "," 13,559.00 ",40.04%,1.82%,48.55%,-3.49%
WASHINGTON,"85,544","39,590",63.07%,29.19%," 86,628.00 "," 47,512.00 ",58.79%,-4.28%,32.24%,3.05%
WAYNE,"7,415","16,191",28.12%,61.41%," 10,048.00 "," 16,925.00 ",32.47%,4.35%,54.70%,-6.71%
WESTMORELAND,"139,354","74,163",59.77%,31.81%," 134,144.00 "," 85,429.00 ",55.33%,-4.43%,35.24%,3.43%
WYOMING,"5,492","10,771",31.00%,60.79%," 7,053.00 "," 10,861.00 ",35.43%,4.43%,54.56%,-6.24%
YORK,"76,483","111,731",35.44%,51.77%," 104,817.00 "," 140,365.00 ",36.66%,1.22%,49.09%,-2.68%
