state,county,precincts,reporting,biden,clinton,dodd,edwards,gravel,kucinich,obama,other-d,richardson,uncommitted-d,curry,gilbert,giuliani,huckabee,hunter,keyes,mccain,paul,romney,tancredo,thompson,uncommitted-r
LA,Lincoln,42,42,44,989,12,97,,12,1788,,32,,9,3,7,1162,2,1,544,72,61,0,6,
LA,Livingston,63,63,111,3279,41,325,,18,1080,,80,,5,1,15,2297,9,13,1248,262,216,1,43,
LA,Madison,38,38,24,267,9,26,,6,724,,12,,0,1,2,164,1,1,135,8,9,0,2,
LA,Morehouse,55,55,50,747,18,90,,10,1524,,26,,2,0,3,583,1,3,271,19,39,2,11,
LA,Natchitoches,51,51,102,1630,39,271,,25,2628,,92,,11,2,25,807,4,9,645,92,143,4,22,
LA,Orleans,442,442,358,10239,85,331,,77,34267,,126,,30,11,103,1158,19,51,3155,373,327,8,91,
LA,Ouachita,81,81,219,4323,64,466,,48,7444,,172,,22,4,52,4156,17,19,2872,293,321,2,48,
LA,Plaquemines,18,18,17,499,8,53,,9,810,,7,,6,1,7,211,1,1,217,19,38,0,5,
LA,Pointe Coupee,29,29,73,893,16,69,,16,1484,,22,,2,0,4,198,0,3,243,27,31,1,5,
LA,Rapides,103,103,147,2866,30,356,,28,5145,,136,,20,5,33,1808,11,15,1364,181,271,0,39,
LA,Red River,18,18,21,369,8,32,,6,517,,18,,1,1,3,204,1,1,70,11,16,0,0,
LA,Richland,35,35,38,461,9,86,,7,760,,27,,1,1,2,484,4,1,233,27,22,0,7,
LA,Sabine,38,38,29,864,16,89,,7,447,,41,,3,1,6,506,1,3,229,15,47,0,5,
LA,St. Bernard,36,36,28,1134,5,81,,3,590,,16,,3,1,11,149,0,1,177,38,31,0,5,
LA,St. Charles,45,45,57,1556,24,206,,32,2591,,36,,4,1,21,818,6,7,860,109,132,1,17,
LA,St. Helena,13,13,42,439,16,87,,12,1085,,17,,1,1,2,155,0,2,85,24,9,0,8,
LA,St. James,21,21,80,963,29,108,,11,2615,,28,,4,1,5,110,0,1,154,16,11,0,4,
LA,St. John the Baptist,36,36,75,1205,21,79,,10,4109,,34,,6,3,8,340,2,3,323,22,41,0,9,
LA,St. Landry,87,87,202,2791,69,200,,53,6298,,78,,18,9,19,714,2,14,682,110,107,2,29,
LA,St. Martin,54,54,120,1896,38,162,,31,2935,,50,,17,4,16,413,6,13,447,59,64,1,12,
LA,St. Mary,54,54,69,1322,21,123,,21,2787,,52,,4,1,16,589,4,9,632,72,108,1,10,
LA,St. Tammany,158,158,134,5397,48,476,,46,5183,,125,,16,11,124,5041,19,60,6299,776,902,8,106,
LA,Tangipahoa,86,86,129,3238,38,392,,25,4249,,63,,12,5,43,1628,12,13,1301,172,216,2,37,
LA,Tensas,17,17,20,259,8,38,,4,506,,9,,1,1,3,109,0,0,106,4,15,1,4,
LA,Terrebonne,90,90,92,2923,44,208,,30,2839,,59,,16,3,29,982,10,11,1136,154,151,2,27,
LA,Union,46,46,49,731,15,95,,8,785,,43,,1,1,6,653,1,2,261,34,34,1,7,
LA,Vermilion,58,58,60,2238,29,186,,17,1473,,38,,4,2,9,452,2,11,462,78,83,2,9,
LA,Vernon,76,76,45,1271,23,198,,7,762,,47,,5,0,7,637,2,0,436,28,35,0,4,
LA,Washington,41,41,69,1497,34,141,,15,1788,,56,,7,3,3,507,3,4,430,31,52,1,7,
LA,Webster,41,41,54,1366,17,116,,11,1659,,49,,4,1,10,928,7,1,338,35,54,1,12,
LA,West Baton Rouge,21,21,33,883,29,91,,5,1725,,26,,1,0,3,232,1,3,239,33,20,0,5,
LA,West Carroll,17,17,11,358,7,67,,3,200,,19,,0,0,1,333,1,0,109,5,10,0,4,
LA,West Feliciana,17,17,28,362,13,33,,7,755,,11,,2,0,2,162,0,1,190,38,35,0,4,
LA,Winn,38,38,14,487,12,55,,7,467,,24,,2,1,2,231,0,0,121,14,8,0,1,
NE,*,1665,1665,,12445,,,,,26126,0,,99,,,,,,,,,,,,
NE,CD1,576,576,,5288,,,,,10041,0,,85,,,,,,,,,,,,
NE,CD2,422,422,,3709,,,,,12252,0,,0,,,,,,,,,,,,
NE,CD3,667,667,,3448,,,,,3833,0,,14,,,,,,,,,,,,
WA,*,7150,6856,0,9992,0,0,0,0,21629,,0,363,,,,,,,,,,,,
WA,*,7150,6864,,,,,,,,,,,,,,2898,,,3191,2666,1903,,,1662
WA,Adams,12,12,0,13,0,0,0,0,15,,0,1,,,,9,,,14,3,0,,,5
WA,Asotin,22,22,0,27,0,0,0,0,45,,0,3,,,,10,,,12,16,5,,,1
WA,Benton,163,163,0,190,0,0,0,0,295,,0,9,,,,67,,,65,74,78,,,26
WA,Chelan,71,71,0,66,0,0,0,0,178,,0,1,,,,51,,,41,19,32,,,25
WA,Clallam,83,66,0,78,0,0,0,0,219,,0,7,,,,,,,,,,,,
WA,Clallam,83,83,,,,,,,,,,,,,,37,,,45,47,27,,,28
WA,Clark,396,396,0,550,0,0,0,0,1077,,0,4,,,,211,,,151,224,184,,,81
WA,Columbia,5,5,0,1,0,0,0,0,15,,0,0,,,,8,,,9,9,10,,,9
WA,Cowlitz,103,103,0,184,0,0,0,0,273,,0,6,,,,80,,,49,52,96,,,25
WA,Douglas,32,16,,,,,,,,,,,,,,45,,,29,4,12,,,0
WA,Douglas,32,32,0,37,0,0,0,0,65,,0,0,,,,,,,,,,,,
WA,Ferry,8,8,0,12,0,0,0,0,18,,0,2,,,,3,,,8,17,0,,,10
WA,Franklin,40,40,0,59,0,0,0,0,63,,0,1,,,,46,,,20,28,23,,,0
WA,Garfield,3,3,0,0,0,0,0,0,1,,0,0,,,,15,,,4,0,1,,,0
WA,Grant,62,62,0,78,0,0,0,0,97,,0,0,,,,47,,,46,71,45,,,41
WA,Grays Harbor,70,70,0,131,0,0,0,0,174,,0,8,,,,38,,,19,28,7,,,11
WA,Island,83,83,0,124,0,0,0,0,268,,0,2,,,,34,,,47,14,26,,,21
WA,Jefferson,40,0,,,,,,,,,,,,,,0,,,0,0,0,,,0
WA,Jefferson,40,40,0,56,0,0,0,0,179,,0,8,,,,,,,,,,,,
WA,King,2553,2189,0,3116,0,0,0,0,8165,,0,92,,,,,,,,,,,,
WA,King,2553,2553,,,,,,,,,,,,,,798,,,1321,708,613,,,731
WA,Kitsap,265,265,0,370,0,0,0,0,904,,0,17,,,,65,,,101,59,76,,,78
WA,Kittitas,38,38,0,50,0,0,0,0,105,,0,2,,,,27,,,43,26,10,,,19
WA,Klickitat,23,23,0,28,0,0,0,0,58,,0,1,,,,8,,,26,28,0,,,14
WA,Lewis,72,72,0,74,0,0,0,0,154,,0,5,,,,28,,,36,27,7,,,8
WA,Lincoln,13,13,0,18,0,0,0,0,30,,0,0,,,,38,,,17,12,4,,,14
WA,Mason,59,59,0,101,0,0,0,0,176,,0,4,,,,34,,,38,24,26,,,2
WA,Okanogan,38,17,0,25,0,0,0,0,115,,0,0,,,,,,,,,,,,
WA,Okanogan,38,38,,,,,,,,,,,,,,28,,,17,38,2,,,17
WA,Pacific,25,25,0,52,0,0,0,0,70,,0,0,,,,20,,,24,8,4,,,26
WA,Pend Oreille,14,14,0,19,0,0,0,0,32,,0,0,,,,12,,,7,19,3,,,1
WA,Pierce,708,311,0,1000,0,0,0,0,1741,,0,39,,,,,,,,,,,,
WA,Pierce,708,637,,,,,,,,,,,,,,195,,,204,150,153,,,58
WA,San Juan,21,17,0,16,0,0,0,0,79,,0,1,,,,,,,,,,,,
WA,San Juan,21,21,,,,,,,,,,,,,,10,,,25,10,15,,,7
WA,Skagit,120,120,0,154,0,0,0,0,393,,0,11,,,,66,,,82,35,50,,,19
WA,Skamania,12,12,0,17,0,0,0,0,39,,0,0,,,,5,,,8,11,2,,,16
WA,Snohomish,712,448,0,691,0,0,0,0,1361,,0,26,,,,,,,,,,,,
WA,Snohomish,712,527,,,,,,,,,,,,,,252,,,210,200,124,,,144
WA,Spokane,479,479,0,646,0,0,0,0,1089,,0,12,,,,162,,,124,379,74,,,75
WA,Stevens,54,54,0,50,0,0,0,0,107,,0,2,,,,85,,,30,79,7,,,17
WA,Thurston,263,263,0,420,0,0,0,0,920,,0,30,,,,164,,,158,90,87,,,44
WA,Wahkiakum,5,5,0,10,0,0,0,0,17,,0,0,,,,14,,,4,2,4,,,4
WA,Walla Walla,56,56,0,52,0,0,0,0,136,,0,0,,,,27,,,45,41,18,,,15
WA,Whatcom,202,161,0,238,0,0,0,0,754,,0,18,,,,,,,,,,,,
WA,Whatcom,202,202,,,,,,,,,,,,,,87,,,53,64,23,,,39
WA,Whitman,40,38,0,27,0,0,0,0,107,,0,3,,,,,,,,,,,,
WA,Whitman,40,40,,,,,,,,,,,,,,29,,,20,20,10,,,8
WA,Yakima,185,185,0,257,0,0,0,0,329,,0,14,,,,43,,,39,30,45,,,23
